review_id;business_name;category;review_text;review_date;rating;source_url;place_id;address;city
Ci9DQUlRQUNvZENodHljRjlvT21oamJETmZOMEprZUhaMVYxbEdVMkpwY1hkV2NYYxAB;Bakso Pa'jero;Kuliner;Saya kesini jam 3 sore bersama keluarga, yg saya suka pelayanan disini oke, semua pelayan ketika ada makanan yg kelewat atau blm keluar komunikatif diajak ngomong, semua pelayanannya muslim, dlm menyajikan makanan pun cepet apalagi minumnya (keluarnya cepet bgt best) tapi untuk rasa bakso kuah dan mie ayam biasa aja kurang panas, dagingnya kerasa bangetsii dibakso (hanya sayang kurang panas) kemudian saya duduk dilesehan kipas sgt pelan sedang udara disekitar panas banget. Kemudian tempat sholatnya tolong diperhatikan dong karyawannya kan banyak yg muslim masa tempat sholatnya seumprit mana dilapisi kardus lagi ( sgt ga layak) kipasnya rusak gk dibenerin , dan minimal dikasi tirai jadi yg makan gk liat yg sholat;05/04/2026 16:16;1;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oamJETmZOMEprZUhaMVYxbEdVMkpwY1hkV2NYYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmhjbDNfN0JkeHZ1V1lGU2JpcXdWcXc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT21wTk1XNU9aekV3YzNVeVFsTjBValJXVGpKWWVVRRAB;Bakso Pa'jero;Kuliner;Bakso bakar ya enak dan pas;05/04/2026 13:30;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wTk1XNU9aekV3YzNVeVFsTjBValJXVGpKWWVVRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmpNMW5OZzEwc3UyQlN0UjRWTjJYeUE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT21sck1VSmtTamx2VTBWSGNsZHVXRnA2ZERVeWNVRRAB;Bakso Pa'jero;Kuliner;Semuanya worth bakso mozanya enak banget;05/04/2026 13:28;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sck1VSmtTamx2VTBWSGNsZHVXRnA2ZERVeWNVRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmlrMUJkSjlvU0VHclduWFp6dDUycUE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT201clVXVlZUekZDUmt0RFZVTnJTVXRqWjI4M1JGRRAB;Bakso Pa'jero;Kuliner;Ud 3x ksni tiap k jogja, baksonya enak, saran jgn pas jam makan siang ksni, krn pasti rame banget, tp playanan cepat si, siapin tunai atau qris ya krn g bsa pke debit;05/04/2026 10:07;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201clVXVlZUekZDUmt0RFZVTnJTVXRqWjI4M1JGRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOm5rUWVVTzFCRktDVUNrSUtjZ283RFE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2s1b1p6VkRWR3R0VTJ0Q01HTXlVMlo2V2t4b0xWRRAB;Bakso Pa'jero;Kuliner;servisnya oke banget. baru dateng, mba pelayannya ramah dan langsung sigap cariin tempat duduk;03/04/2026 13:30;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1b1p6VkRWR3R0VTJ0Q01HTXlVMlo2V2t4b0xWRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOk5oZzVDVGttU2tCMGMyU2Z6WkxoLVE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2xkdmMzVkdlSFZNWDFKSldUaFhYM0kxYkdoR2RIYxAB;Bakso Pa'jero;Kuliner;Pernah makan disini satu kali habis dari museum Sonobudoyo,enak banget baksonya next time mau kesini lagi;03/04/2026 10:30;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkdmMzVkdlSFZNWDFKSldUaFhYM0kxYkdoR2RIYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOldvc3VGeHVMX1JJWThXX3I1bGhGdHc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT210dVQxTmxOMEoyUTNSdlFVMDVja3czWTFOTlVGRRAB;Bakso Pa'jero;Kuliner;beli es krim, tapi ga dianter2 lama banget ternyata habis, tapi dianya ga bilang;02/04/2026 16:36;1;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210dVQxTmxOMEoyUTNSdlFVMDVja3czWTFOTlVGRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmtuT1NlN0J2Q3RvQU05ckw3Y1NNUFE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2xOSE9WcHZNRTVtZEZWSmFXTjVVMUZUWWpSb1psRRAB;Bakso Pa'jero;Kuliner;paling enak abis kuliah makan di sini. kuahnya enaakkkkk!!! harga masih okee buat mahasiswa:)));02/04/2026 16:09;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOSE9WcHZNRTVtZEZWSmFXTjVVMUZUWWpSb1psRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOlNHOVpvME5mdFVJaWN5U1FTYjRoZlE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT21Nd01YSkdSbkJOVjNkT2NIWXdWRXhMYWxodlRGRRAB;Bakso Pa'jero;Kuliner;Karyawannya ramah, makan baksonya dibikin nyaman, baksonya juga enak banget 😍;02/04/2026 15:39;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Nd01YSkdSbkJOVjNkT2NIWXdWRXhMYWxodlRGRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmMwMXJGRnBNV3dOcHYwVExLalhvTFE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT21rdExWQnFlRFJOYlZsc1RrVnVTR0V5ZFdsQlUzYxAB;Bakso Pa'jero;Kuliner;Baksonya iganya enak banget. Juara pol Pokok e 👍🏻;02/04/2026 15:39;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21rdExWQnFlRFJOYlZsc1RrVnVTR0V5ZFdsQlUzYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmktLVBqeDRNbVlsTkVuSGEydWlBU3c%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
